,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Daily Mail'}",Alex Hammer,Apple employees launch petition after CEO said workers have to return to office three days a week,"The petition comes in response to an all-employee memo from  CEO Tim Cook, who last week said workers would have to come into the office for at least three days a week in September.",https://www.dailymail.co.uk/news/article-11134901/Apple-employees-launch-petition-CEO-said-workers-return-office-three-days-week.html,https://i.dailymail.co.uk/1s/2022/08/22/16/61615147-0-image-a-28_1661183209889.jpg,2022-08-22T16:32:50Z,Apple staffers have hit back at the company's call for workers to return to the office at least three days a week next month - with a petition that argues the policy is too restrictive and ignores th… [+6219 chars]
1,"{'id': None, 'name': 'MacGeneration'}",Christophe Laporte,L'AutoPilot de Tesla permet d'éviter 40 accidents par jour,"Dès qu’il arrive quelque chose à une Tesla, cela fait le tour des réseaux sociaux. À l’image d’Apple, Tesla est une société qui fait couler beaucoup d’encre en bien ou en mal. Et c’est souvent l’Autopilot qui est au cœur des conversations. Reste que si l’on e…",https://www.macg.co/mobilites/2022/08/lautopilot-de-tesla-permet-deviter-40-accidents-par-jour-130969,https://cdn.mgig.fr/2022/08/mga-317f5b46-w375-w1500-w750_accroche.jpg,2022-08-22T16:30:45Z,"Dès quil arrive quelque chose à une Tesla, cela fait le tour des réseaux sociaux. À limage dApple, Tesla est une société qui fait couler beaucoup dencre en bien ou en mal. Et cest souvent lAutopilot … [+1926 chars]"
2,"{'id': None, 'name': 'Olhardigital.com.br'}",Gabrielly Bento,Tesla aumentará o valor do Full Self-Driving para US$ 15.000,"Elon Musk, anunciou no seu twitter que o valor inicial de seu recurso Full Self-Driving (FSD) aumentaria para US$ 15.000 em 5 de setembro.
O post Tesla aumentará o valor do Full Self-Driving para US$ 15.000 apareceu primeiro em Olhar Digital.",https://olhardigital.com.br/2022/08/22/pro/tesla-aumentara-o-valor-do-full-self-driving-para-us-15-000/,https://img.olhardigital.com.br/wp-content/uploads/2022/02/shutterstock_1918929593.jpg,2022-08-22T16:29:15Z,Elon Musk anunciou no seu Twitter que o valor inicial de seu recurso Full Self-Driving (FSD) aumentaria para US$ 15.000 em 5 de setembro. Essa Ã© a segunda vez sÃ³ nesse ano que a Tesla estÃ¡ subindo… [+2722 chars]
3,"{'id': 'la-nacion', 'name': 'La Nacion'}",,"Autos “conectados”: cuál es la marca más innovadora, según un estudio alemán","De acuerdo con el Instituto CAM, Volkswagen es la automotriz que figura al tope en innovación en vehículos conectados, por delante de Mercedes-Benz y Tesla; los servicios que sumarán en el futuro",https://www.lanacion.com.ar/autos/autos-conectados-cual-es-la-marca-mas-innovadora-segun-un-estudio-aleman-nid22082022/,https://resizer.glanacion.com/resizer/IdeH8tNI1D4q18LCx60wk2E4BTE=/768x0/filters:format(webp):quality(80)/cloudfront-us-east-1.images.arcpublishing.com/lanacionar/XB2DPDGT2VHENPKQQNDGYGZC7E.jpg,2022-08-22T16:26:41Z,"Volkswagen sigue siendo la empresa más innovadora en el sector del automóvil conectado, por delante de Mercedes-Benz y Tesla, según un estudio publicado por el experto en la industria automotriz Stef… [+1915 chars]"
4,"{'id': None, 'name': 'Les Numériques'}",David Lefevre,Actualité : Tesla augmente de 25 % le prix de sa Conduite entièrement autonome (FSD),Elon Musk a annoncé sur Twitter que Tesla augmenterait de 3000 $ le prix de son option de Conduite entièrement autonome (FSD).,https://www.lesnumeriques.com/voiture/tesla-augmente-de-25-le-prix-de-sa-conduite-entierement-autonome-fsd-n189955.html,https://cdn.lesnumeriques.com/optim/news/18/189955/d4dd3ea2-tesla-augmente-de-25-le-prix-de-sa-conduite-entierement-autonome-sfd__1200_630__0-68-1350-776.jpeg,2022-08-22T16:25:00Z,"Elon Musk, PDG de Tesla, a déclaré sur Twitter qu'après la diffusion de la dernière version bêta du logiciel Full Self-Driving (FSD), le prix de ce dernier passerait de 12 000 $ à 15 000 $ en Amériqu… [+2613 chars]"
5,"{'id': 'nbc-news', 'name': 'NBC News'}",The Associated Press,"Ford is laying off about 3,000 workers","Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.",https://www.nbcnews.com/business/autos/ford-laying-3000-workers-rcna44237,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2022-08/220822-ford-signage-se-1221p-9d08a3.jpg",2022-08-22T16:23:57Z,"DETROIT Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Michigan… [+2352 chars]"
6,"{'id': None, 'name': 'Mirror Online'}",mirrornews@mirror.co.uk (Abigail O'Leary),Horrifying moment Range Rover crashes through Tesla centre leaving woman dead,The two vehicles collided on the A40 near Park Royal tube in west London just before 4am this morning,https://www.mirror.co.uk/news/uk-news/horrifying-moment-range-rover-crashes-27805180,https://i2-prod.mirror.co.uk/incoming/article27805397.ece/ALTERNATES/s1200/0_Horrifying-moment-Range-Rover-crashes-through-Tesla-centre-as-woman-dies-it-was-like-an-explosion.jpg,2022-08-22T16:23:39Z,"This is the horrifying moment a Range Rover crashed through a Tesla centre - leaving one woman dead. 
The two vehicles collided on the A40 near Park Royal tube in west London just before 4am this mo… [+3089 chars]"
7,"{'id': 'abc-news', 'name': 'ABC News'}",TOM KRISHER AP Auto Writer,"Ford cutting 3,000 white-collar jobs in bid to lower costs","Ford Motor Co. is cutting about 3,000 white-collar workers as it moves reduce costs and make the transition from internal combustion to electric vehicles",https://abcnews.go.com/Business/wireStory/ford-cutting-3000-white-collar-jobs-bid-lower-88698394,https://s.abcnews.com/images/US/WireAP_d1e2c062f5514cbcb187e814f711e5a7_16x9_992.jpg,2022-08-22T16:23:20Z,"DETROIT -- Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Michi… [+2398 chars]"
8,"{'id': None, 'name': 'WFAA.com'}",TOM KRISHER. AP Auto Writer,"Ford cutting 3,000 white-collar jobs in bid to lower costs","The salaried worker cuts represent about 6% of a 31,000 workforce in the U.S. and Canada. Ford's 56,000 union factory workers are not affected.",https://www.wfaa.com/article/news/nation-world/ford-cutting-white-collar-jobs/507-b5d91fa9-98f0-4d2d-992f-dc1aa284bb4a,https://media.wfaa.com/assets/WFAA/images/f83cb366-91e8-490a-8c03-daceea178065/f83cb366-91e8-490a-8c03-daceea178065_1140x641.jpg,2022-08-22T16:22:49Z,"DETROIT Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Michigan… [+2486 chars]"
9,"{'id': None, 'name': 'Webcenterfairbanks.com'}",TOM KRISHER,"Ford cutting 3,000 white-collar jobs in bid to lower costs","The cuts will come across the company in the U.S., Canada and India.",https://www.webcenterfairbanks.com/2022/08/22/ford-cutting-3000-white-collar-jobs-bid-lower-costs/,https://gray-ktvf-prod.cdn.arcpublishing.com/resizer/bO_3ixtDXHOVq--a5-WWF71kNhI=/1200x600/smart/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/gray/CIDVPNK66FFHNMO5THF7KGRNXU.jpg,2022-08-22T16:22:21Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Mic… [+2456 chars]"
10,"{'id': None, 'name': 'WJHG-TV'}",TOM KRISHER,"Ford cutting 3,000 white-collar jobs in bid to lower costs","The cuts will come across the company in the U.S., Canada and India.",https://www.wjhg.com/2022/08/22/ford-cutting-3000-white-collar-jobs-bid-lower-costs/,https://gray-wjhg-prod.cdn.arcpublishing.com/resizer/bO_3ixtDXHOVq--a5-WWF71kNhI=/1200x600/smart/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/gray/CIDVPNK66FFHNMO5THF7KGRNXU.jpg,2022-08-22T16:22:21Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Mic… [+2456 chars]"
11,"{'id': None, 'name': 'WDBJ7'}",TOM KRISHER,"Ford cutting 3,000 white-collar jobs in bid to lower costs","The cuts will come across the company in the U.S., Canada and India.",https://www.wdbj7.com/2022/08/22/ford-cutting-3000-white-collar-jobs-bid-lower-costs/,https://gray-wdbj-prod.cdn.arcpublishing.com/resizer/bO_3ixtDXHOVq--a5-WWF71kNhI=/1200x600/smart/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/gray/CIDVPNK66FFHNMO5THF7KGRNXU.jpg,2022-08-22T16:22:21Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Mic… [+2456 chars]"
12,"{'id': None, 'name': 'KY3'}",TOM KRISHER,"Ford cutting 3,000 white-collar jobs in bid to lower costs","The cuts will come across the company in the U.S., Canada and India.",https://www.ky3.com/2022/08/22/ford-cutting-3000-white-collar-jobs-bid-lower-costs/,https://gray-ky3-prod.cdn.arcpublishing.com/resizer/bO_3ixtDXHOVq--a5-WWF71kNhI=/1200x600/smart/filters:quality(85)/cloudfront-us-east-1.images.arcpublishing.com/gray/CIDVPNK66FFHNMO5THF7KGRNXU.jpg,2022-08-22T16:22:21Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Mic… [+2456 chars]"
13,"{'id': None, 'name': 'seattlepi.com'}","By TOM KRISHER, AP Auto Writer","Ford cutting 3,000 white-collar jobs in bid to lower costs","DETROIT (AP) — Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.
Leaders of the Dearborn, Michigan, automaker made the announcement Monday in a companyw…",https://www.seattlepi.com/news/article/Ford-cutting-3-000-white-collar-jobs-in-bid-to-17389526.php,https://s.hdnux.com/photos/01/27/06/50/22833707/3/rawImage.jpg,2022-08-22T16:21:48Z,"DETROIT (AP) Ford Motor Co. is cutting about 3,000 white-collar jobs as it attempts to lower costs and make the transition from internal combustion to electric vehicles.Leaders of the Dearborn, Michi… [+2356 chars]"
